idno,netustm,ppltrst,vote,prtvtddk,lvpntyr,tygrtr,gndr,yrbrn,edlvddk,eduyrs,wkhct,wkhtot,grspnum,frlgrsp,inwtm
90578,120,8,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",2003,65,Male,1981,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",4,37,40,45000,Not applicable,54
90645,480,8,Yes,Refusal,2013,55,Male,1996,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",15,28,32,Not applicable,Not applicable,39
90908,480,7,Not eligible to vote,Not applicable,"Still in parental home, never left 2 months",65,Female,1998,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",13,15,20,Not applicable,Not applicable,42
90918,120,8,Yes,Refusal,1969,30,Female,1954,Folkeskole 9.-10. klasse,Don't know,37,37,Not applicable,Not applicable,58
90920,90,6,No,Not applicable,2002,55,Male,1981,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",13,40,0,10000,Not applicable,50
90945,60,8,Yes,Dansk Folkeparti - Danish People's Party,1986,Don't know,Female,1963,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",17,37,44,Not applicable,Not applicable,53
91010,Not applicable,7,Yes,Don't know,1962,50,Female,1941,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",13,37,37,Not applicable,Not applicable,58
91137,540,9,Yes,Det Konservative Folkeparti - Conservative People's Party,1972,30,Female,1954,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",14,37,39,28000,30000,104
91187,60,6,Yes,Dansk Folkeparti - Danish People's Party,1978,60,Male,1959,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",7,30,32,42000,Not applicable,72
91229,45,6,Yes,Socialdemokratiet - The Social democrats,1966,55,Male,1948,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",4,37,37,Not applicable,Not applicable,75
