"idno","ppltrst","happy","cgtsday","alcfreq","height","weight","gndr","yrbrn"
"163",923858,"9","9",NA,"2-3 times a month",180,70,"Male",1977
"164",923866,"7","9",NA,"Once a week",192,93,"Male",1992
"165",923882,"8","9",4,"Every day",179,87,"Male",1935
"166",923890,"9","Extremely happy",NA,"Once a week",173,60,"Female",1996
"167",923905,"6","8",12,"Once a week",196,135,"Male",1995
"168",923913,"7","9",NA,"Every day",170,70,"Male",1943
"169",923939,"9","Extremely happy",NA,"Several times a week",177,107,"Male",1951
"170",923971,"9","7",NA,"Never",166,82,"Female",1929
"171",923989,"9","7",NA,"2-3 times a month",180,70,"Female",1959
"172",923997,"8","8",NA,"Several times a week",190,110,"Male",1954
"173",924024,"7","8",NA,"Less than once a month",169,66,"Female",1986
"174",924032,"7","Extremely happy",NA,"Every day",174,72,"Male",1926
"175",924040,"8","9",NA,"Every day",172,92,"Male",1942
"176",924058,"9","",10,"Once a month",164,68,"Female",1949
"177",924066,"5","6",NA,"Every day",175,68,"Male",1927
"178",924074,"8","9",NA,"Several times a week",189,66,"Male",1970
"179",924090,"9","5",NA,"Every day",178,66,"Male",1957
"180",924105,"8","8",15,"Less than once a month",160,63,"Female",1962
"181",924113,"8","8",NA,"Several times a week",197,82,"Male",1997
"182",924121,"5","7",10,"Never",188,85,"Male",1990
"183",924139,"8","8",NA,"Once a month",174,79,"Male",1951
"184",924155,"5","8",NA,"Every day",180,70,"Male",1935
"185",924163,"5","5",NA,"Once a week",169,63,"Male",1971
"186",924171,"3","7",10,"Once a week",161,65,"Female",1995
"187",924202,"9","",NA,"Several times a week",170,74,"Female",1970
"188",924236,"8","9",NA,"Several times a week",178,93,"Male",1952
"189",924244,"7","8",NA,"Several times a week",178,90,"Male",1983
"190",924252,"Most people can be trusted","9",NA,"Once a month",169,56,"Female",1995
"191",924278,"Most people can be trusted","Extremely happy",20,"Several times a week",167,54,"Female",1934
"192",924325,"8","9",NA,"Once a month",175,78,"Male",1971
"193",924359,"8","Extremely happy",NA,"Once a week",165,72,"Male",1937
"194",924367,"5","8",NA,"Once a week",178,85,"Male",1943
"195",924375,"7","Extremely happy",NA,"Once a month",178,76,"Female",1976
"196",924383,"3","8",NA,"Never",175,94,"Male",1946
"197",924406,"8","8",NA,"Never",168,65,"Female",1934
"198",924430,"7","8",NA,"Once a week",178,69,"Male",1957
"199",924464,"7","9",NA,"Once a month",174,74,"Female",1991
"200",924472,"8","8",NA,"Less than once a month",168,72,"Female",1989
"201",924480,"8","Extremely happy",NA,"Less than once a month",166,65,"Female",1957
"202",924498,"5","7",10,"Several times a week",175,66,"Male",1966
"203",924503,"7","8",NA,"Every day",181,81.5,"Male",1932
"204",924511,"8","9",20,"Less than once a month",157,59,"Male",1957
"205",924529,"8","9",NA,"Several times a week",163,75,"Female",1957
"206",924545,"5","Extremely happy",4,"Never",172,75,"Male",1979
"207",924561,"8","Extremely happy",NA,"Less than once a month",172,57,"Female",1980
"208",924579,"5","9",NA,"Several times a week",165,66,"Female",1945
"209",924595,"8","9",NA,"Several times a week",165,80,"Female",1955
"210",924600,"9","6",NA,"Several times a week",188,91,"Male",1955
"211",924618,"7","9",NA,"Once a week",180,81,"Male",1977
"212",924626,"8","8",25,"Once a month",168,85,"Male",1942
"213",924676,"3","8",NA,"Once a week",180,83,"Male",1955
"214",924692,"7","5",NA,"Once a week",163,58,"Female",1980
"215",924715,"9","9",3,"Once a week",167,95,"Female",1985
"216",924731,"5","8",NA,"Never",178,86,"Male",1951
"217",924781,"9","Extremely happy",NA,"Several times a week",178,75,"Male",1973
"218",924812,"You can't be too careful","9",NA,"Once a week",173,65,"Female",1984
"219",924846,"8","9",NA,"Less than once a month",168,68,"Female",1972
"220",924854,"7","7",NA,"Never",173,87,"Male",1966
"221",924862,"7","8",NA,"Once a month",178,82,"Male",1980
"222",924901,"Most people can be trusted","Extremely happy",NA,"Several times a week",164,70,"Female",1957
"223",924943,"7","9",NA,"2-3 times a month",185,82,"Male",1998
"224",924951,"7","8",NA,"Once a week",162,59,"Female",1980
"225",924969,"8","5",20,"Every day",176,76,"Male",1957
"226",924985,"8","9",NA,"Once a week",188,85,"Male",1946
